trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
382,False,"{'a': 0.5, 'e': 0.8037933932096717}",35,0,-102.56136869381199,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
383,False,"{'a': 0.5, 'e': 0.9906094165098637}",20,4,-178.66996860278118,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 4}",1
384,False,"{'a': 0.5, 'e': 0.9348897059372352}",25,0,-192.73500386380726,"{0: 9, 1: 3, 2: 9, 3: 3, 4: 1}",0
385,False,"{'a': 0.5, 'e': 0.6502763899328083}",35,10,-29.24964052912687,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.20645273449087873}",20,0,-13.39677149222139,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
387,False,"{'a': 0.5, 'e': 0.2879177506452518}",20,0,-26.00150609392711,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
388,False,"{'a': 0.5, 'e': 0.711795928940826}",25,13,-2.0938761693419234,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.9614016390808037}",20,0,-76.36757005714517,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
390,False,"{'a': 0.5, 'e': 0.9756226979194443}",25,0,-179.40742992191264,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
391,False,"{'a': 0.5, 'e': 0.7509772942762827}",30,15,-41.23944719339969,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.3424664577455166}",25,13,14.241000413416117,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.14989211157661958}",20,16,8.57953022573375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.6055518643146514}",30,0,-60.3701269467221,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
395,False,"{'a': 0.5, 'e': 0.9129514013088668}",25,0,-82.19519072400627,"{0: 14, 1: 7, 2: 2, 3: 2, 4: 0}",0
396,False,"{'a': 0.5, 'e': 0.9968285949694307}",25,0,-144.62669617841163,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
397,False,"{'a': 0.5, 'e': 0.8366473829688406}",20,0,-100.72648365374772,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
398,False,"{'a': 0.5, 'e': 0.47162571251991114}",25,7,-2.562304697990181,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.008866380875648453}",20,10,16.90354657044944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.48718767500700594}",20,0,-48.66845658811769,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
401,False,"{'a': 0.5, 'e': 0.8462284350324767}",20,13,6.211797420593146,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.9980829609135574}",25,0,-70.56364063003929,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
403,False,"{'a': 0.5, 'e': 0.9055719686028203}",30,0,-174.73059948718523,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
404,False,"{'a': 0.5, 'e': 0.591345375451585}",25,10,-67.17536686723788,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
405,False,"{'a': 0.5, 'e': 0.13233681049883225}",20,13,11.218934964687234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.35907242107165305}",20,13,1.6236295358296122,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.7625682008753121}",20,0,-61.140985944055174,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
408,False,"{'a': 0.5, 'e': 0.9793606896089245}",20,0,-141.45841766756214,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
409,False,"{'a': 0.5, 'e': 0.9563715251281321}",25,0,-152.0653305431811,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
410,False,"{'a': 0.5, 'e': 0.6992292566729736}",20,4,-13.027185927452104,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.2708912797114064}",30,12,17.70495167359362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.22377033018717848}",20,9,19.496833963302606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.6636451589928438}",30,0,-211.39405367988925,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
414,False,"{'a': 0.5, 'e': 0.9410365074429887}",30,0,-85.32539998315593,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
415,False,"{'a': 0.5, 'e': 0.9880292990755299}",25,0,3.098222094971181,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
416,False,"{'a': 0.5, 'e': 0.7931180595679168}",20,0,-73.36734061053752,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
417,False,"{'a': 0.5, 'e': 0.4040238581187374}",25,8,15.827465111800636,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.08398947462256867}",35,24,19.55359375340253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.5514392547409379}",20,0,-55.630458374157996,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
420,False,"{'a': 0.5, 'e': 0.8838774731823718}",25,15,-31.226114092288434,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.999911659884212}",20,0,-97.73820334414671,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
422,False,"{'a': 0.5, 'e': 0.8711325991081119}",25,10,-67.02853706124701,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
423,False,"{'a': 0.5, 'e': 0.5290698962588196}",25,10,-5.753221576031177,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.057472430847665464}",30,15,26.392973590510362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.42819629005609655}",20,0,21.83654186397514,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
426,False,"{'a': 0.5, 'e': 0.8090276252864301}",25,0,-97.03602127665572,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
427,False,"{'a': 0.5, 'e': 0.9917807820218032}",20,0,-83.0513801716036,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
428,False,"{'a': 0.5, 'e': 0.9317114137542325}",25,3,-179.72197441779448,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 3}",1
429,False,"{'a': 0.5, 'e': 0.6435265968280777}",25,0,-59.2894562780624,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
430,False,"{'a': 0.5, 'e': 0.19778402522372224}",20,16,6.332670106220666,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.2963829737144291}",25,0,-72.00626851114511,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
432,False,"{'a': 0.5, 'e': 0.7179850839697136}",20,0,-94.16491560322143,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
433,False,"{'a': 0.5, 'e': 0.9637994050640022}",20,0,-117.13397506598695,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
434,False,"{'a': 0.5, 'e': 0.9736420181192547}",20,0,-92.20619908366992,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
435,False,"{'a': 0.5, 'e': 0.7451031081864141}",20,0,-77.88683374727194,"{0: 13, 1: 3, 2: 0, 3: 4, 4: 0}",0
